name	code	global_id	parent_id	local_id	level
Total	total	1	0	1	1
Europe	T_WE	2	1	1	2
Middle-East	T_WM	3	1	2	2
America	T_WL	4	1	3	2
Asia-Pacific	T_WA	5	1	4	2
Africa	T_WF	6	1	5	2
Austria	AT	7	2	1	3
Belgium	BE	8	2	2	3
Bulgaria	BG	9	2	3	3
Cyprus	CY	10	2	4	3
Czech Republic	CZ	11	2	5	3
Germany	DE	12	2	6	3
Denmark	DK	13	2	7	3
Estonia	EE	14	2	8	3
Spain	ES	15	2	9	3
Finland	FI	16	2	10	3
France	FR	17	2	11	3
Greece	GR	18	2	12	3
Croatia	HR	19	2	13	3
Hungary	HU	20	2	14	3
Ireland	IE	21	2	15	3
Italy	IT	22	2	16	3
Lithuania	LT	23	2	17	3
Luxembourg	LU	24	2	18	3
Latvia	LV	25	2	19	3
Malta	MT	26	2	20	3
Netherlands	NL	27	2	21	3
Poland	PL	28	2	22	3
Portugal	PT	29	2	23	3
Romania	RO	30	2	24	3
Sweden	SE	31	2	25	3
Slovenia	SI	32	2	26	3
Slovakia	SK	33	2	27	3
United Kingdom	GB	34	2	28	3
United States	US	35	4	29	3
Japan	JP	36	5	30	3
China	CN	37	5	31	3
Canada	CA	38	4	32	3
South Korea	KR	39	5	33	3
Brazil	BR	40	4	34	3
India	IN	41	5	35	3
Mexico	MX	42	4	36	3
Russia	RU	43	2	37	3
Australia	AU	44	5	38	3
Switzerland	CH	45	2	39	3
Turkey	TR	46	3	40	3
Taiwan	TW	47	5	41	3
Norway	NO	48	2	42	3
Indonesia	ID	49	5	43	3
South Africa	ZA	50	6	44	3
Rest of Asia and Pacific	WA	51	5	45	3
Rest of America	WL	52	4	46	3
Rest of Europe	WE	53	2	47	3
Rest of Africa	WF	54	6	48	3
Rest of Middle East	WM	55	3	49	3
